Act-ON,Logiciel généraliste,"Act-On was founded in 2008 by Raghu Raghavan, formerly a founder of Responsys, after he saw ""potential for a sophisticated, but affordable SaaS marketing tool mid-market companies could easily use."" Act-On initially sold through alternate channels, but later created its own sales team. Entering the market after several competitors had been established, Act-On had a second-mover advantage, learning from the success and failures of earlier market entrants. Raghavan commented in a 2013 interview, ""We came in, we saw all of the things that had not been done right in this space, and I think it allowed us to build a company in a whole new way to attack what we saw in the monsters' market.""

Act-On Software, Inc. is the leading adaptive marketing automation provider for fast growing businesses. Act-On provides a cloud-based integrated marketing automation platform that enables businesses to effectively acquire customers, build loyalty and expand their relationships with these customers. At Act-On, we love marketing as much as you do. We are a marketing automation company with a passion for helping you, the marketer, do the best work of your career. As a mark of our innovation, we created the only workspace that powers the customer experience from end-to-end. From brand awareness and demand generation, to retention and loyalty, our technology enables all marketers to drive better business outcomes. Our platform is built with powerful capabilities to help you deliver results quickly - without the need for a dedicated IT resource. Every marketer has a great campaign inside of them – let’s work together to launch it to the world. It’s time to Act-On!",,"1. Easy to use
2. Open eco-system (native connector to CRM, CMS, Business Intelligence tool…)
3. Customer support
",,,,"PME, Grand Compte",USA & Europe (Francfort et Dublin),2008,,,15 787 €,,https://www.act-on.com/fr/,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,,,,,,,,,,,,,,,Non,,Non,,Non,Non,,,Oui,,,,,,Non,Non,Non,Non,Oui
IFTT,Logiciel d'automatisation de processus,"IFTTT propose d’automatiser les différentes interactions entre services connectés, grâce à ce qu’on appelle des recettes.

Une “recette” est un un scénario capable d’automatiser différentes tâches : de la plus utile à la plus improbable. Actuellement, le logiciel dispose de 168 canaux et permet de créer une quantité presque infinie d’agencement.

En fonction de la condition choisie : If this, le service déclenche automatiquement l’action souhaitée : Then That. Par exemple si un post est publié sur Facebook, celui-ci peut être automatiquement relayé sur Twitter et Linkedin.",,Outil de synchronisation quasiment universel,Ce n'est pas une plateforme de marketing automation.,,,"TPE, PME",Non applicable,2010,,N.A.,N.A.,N.A.,https://ifttt.com/,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,,Oui,Non,Non,Non,Non,Oui
Koban Marketing,Logiciel généraliste,"Koban Marketing fait partie de la suite Koban Cloud (4 outils en un pour faire du CRM, du Marketing Automation, gérer son entreprise au quotidien et prévoir le futur de son activité). Koban est développé par une équipe de 4 personnes à proximité de Lyon. Kabon a actuellement 200 clients et est rentable. C’est l’un des logiciels le plus stable du marché. Un client a même dit “c’est la première fois que je voit un logiciel qui fonctionne exactement comme il est prévu pour le faire !”.
Conçue pour les PME qui souhaitent développer leur chiffre d’affaires en maîtrisant la totalité du cycle de vente. Koban est un logiciel complet en ligne qui agit sur 4 leviers : générer plus de chiffre d’affaires, améliorer la prospection, structurer l’activité et organiser son temps afin d’en gagner.
Koban Cloud propose une suite complète et efficace et un accompagnement sur mesure. L’équipe à fait le choix d’une croissance maîtrisé afin d’accompagner chaque client dans son développement.

Complet
Koban couvre l’intégralité des processus de ventes et marketing pour gérer et automatiser la relation client / prospect en agissant sur 4 leviers : générer plus de chiffre d’affaires, améliorer la prospection, structurer l’activité, organiser et gagner du temps. La relation avec les clients et prospects est scénarisée et adaptée à leurs canaux de communication préférés. Koban analyse le comportement de vos prospects et clients. Croisé avec vos informations de ventes, Koban déclenche automatiquement le bon message, à la bonne personne, et au bon moment. La gestion de la relation client est totale et multicanale, de l’email au print. Les commerciaux sont alertés en temps réel, pilotent leur activité quotidienne et concentrent leur action sur la vente aux prospects chauds.
Flexible
Depuis 2012, nous travaillons au quotidien de manière pragmatique avec nos 800 users pour faire de Koban un véritable outil de performance. Évolutive et intuitive, l’interface évolue chaque mois pour toujours plus d’efficacité et vous garantissent la performance et la pérennité de votre utilisation.
Abordable
L’abonnement donne accès à l’intégralité des fonctionnalités Koban. Les solutions digitales sont de plus en plus abordables grâce au modèle Saas, qui a largement permis de démocratiser le CRM (Customer Relationship Management ou Gestion de la Relation Client). La technologie va permettre de plus en plus à celui qui la possède d’accéder et suivre en temps réel les données d’achat et les comportements des clients comme d’anticiper l’activité par l’analyse des tendances. La centralisation des données dans un système d’information unique permet d’enrichir la connaissance client et d’adapter au maximum l’approche commerciale aux nouvelles habitudes d’achat. ","Editeur Lyonnais proposant une suite complète incluant CRM et Marketing Automation. Ayant eu l'occasion de discuter avec des clients de Koban le retour est toujours le même ""une solution fiable qui fait ce qu'on lui demande et une équipe réactive et à l'écoute. C'est rare sur le marché !"". 

Ces retours montre le sérieux de cette solution Française qui privilégie une croissance maitrisé avec de beaux jours devant elle.

Koban est en conformité avec le RGPD et saura vous accompagner dans la mise en conformité de votre business au besoin.","- complet
- abordable
- français
",,,Oui,"TPE, PME",Europe (Irlande et Pays Bas),2012,,,588 €,,http://koban.cloud/marketing/,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,,,Oui,Oui,Oui,Oui,Oui,,,,Non,,Non,,Non,Non,,,Oui,Oui,Non,Oui,FR,Oui,Non,Non,Non,Non,Non
Mailchimp,Logiciel d'emailing,"Mailchimp est un logiciel de gestion de campagnes d’e-mail marketing. Il propose une version gratuite limitée à 2000 abonnées et 12000 mails/mois. Pour plus de fonctionnalités, vous pouvez avoir un compte payant à partir de 10$.

MailChimp is a self-service marketing automation platform here in the U.S. that got its start back in 2001. Today, our email and ad campaign tools enable online sellers to target their customers with the right messages, in the right channels, at the right time.

• Sell More Stuff with MailChimp: http://eepurl.com/cXy2Bb
• MailChimp Feature List: https://mailchimp.com/features/all/

We offer the ability to connect other platforms or services to your MailChimp account using our API v3.0, provide native signup forms to share or host on your website, and offer several open, click, and e-commerce tracking options. More on those features here:

• Api Guide v3.0: http://developer.mailchimp.com/
• About Signup Form Options: http://eepurl.com/cdy2Q1
• Enable and View Click Tracking: http://eepurl.com/b2Q-OX
• About Open Tracking: http://eepurl.com/b2Q-Mj
• Additional Tracking Options for Campaigns: http://eepurl.com/cRVYKv",https://mailchimp.com/features/all/,,,,,"TPE, PME, Grand Compte",USA,2001,,,"1,000 €",,https://mailchimp.com/,Oui,Non,Non,Non,Non,Non,Non,,,,,Oui,,,,,,,Oui,,Non,,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Oui,Non,Non,Oui,,,Non,Non,Non,Oui,Oui
Mailjet,Logiciel d'emailing,"Mailjet is a powerful email service provider that ensures maximum insight and deliverability results for marketing and transactional emails. Founded in France in 2010, we serve more than 26,000 clients worldwide in 156 countries, sending close to 1 billion emails every month. Our analytics tools and intelligent APIs offer the flexibility to create, send and optimize email for all.

Mailjet’s propriatary technology and consulting services ensure optimal deliverability for its customers. We continue to develop innovative features such as A/X testing and Campaign Comparison to help our customers get more out of their email. Our support team works around the clock to answer questions and resolve customer issues in English, French, German and Spanish.",,,,,,"TPE, PME, Grand Compte",Europe,2010,,,,,https://fr.mailjet.com/,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,,Non,,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Oui,Non,Non,Oui,EN/FR/ES/DE,Oui,Non,Non,Non,Oui,Non
Mautic.com Maestro,Logiciel généraliste,"Mautic Maestro : à partir de 100$/mois, même base technique que la version Open Source, support par un forum.",,,,,,"TPE, PME",USA,,,,"1,000 €",,https://www.mautic.com/,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,EN/JP/FR,Oui,Oui,Non,Non,Non,Non
Mautic.com Pro,Logiciel généraliste,"Mautic Pro : à partir de 500$/mois, même base technique que la version Open Source, support par un forum.",,,,,,"TPE, PME",USA,,,,"5,200 €",,https://www.mautic.com/,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,EN/JP/FR,Oui,Oui,Non,Non,Non,Non
Mautic.org,Logiciel généraliste,"Mautic est né avec un seul objectif : l'égalité. 
La communauté Mautic souhaite donner à chaque personne le pouvoir de comprendre, de gérer et de développer son entreprise ou son organisation. Mautic aide cette croyance à devenir une réalité en mettant à disposition un puissant logiciel d'automatisation du marketing entre les mains de chaque personne.
Du fait que Mautic soit open source, le logiciel est 100% personnalisable pour vos besoins et situations particulières. Vous pouvez enfin utiliser une plate-forme d'automatisation marketing de la façon dont votre entreprise fonctionne au lieu de changer votre entreprise pour s'adapter à un logiciel.","Mautic est une solution open source aussi simple à installer que Wordpress. Cela implique quelques compétences techniques et des connaissances pour avoir un hébergement stable. Je conseil de ne pas dépasser 5.000 contacts avec une solution que vous hébergez vous même, en effet au delà il deviens compliqué d'assurer une plateforme stable au moment du calcul des campagnes.

C'est une bonne solution pour une première approche du marketing automation en tant que TPE ou PME.

La solution est gratuite, vous pouvez la télécharger directement sur le site internet de l'éditeur. Par contre il vous faut avoir au moins une personnes compétentes techniquement pour la mettre en oeuvre, que ce soit en interne ou en externe. La mise en oeuvre de Mautic est donc loin d'être gratuite. Il faut compter, selon mon expérience, un développeur à mi-temps sur l'année, ainsi qu'un administrateur système quelques jours par mois. En pensant bien sur au coût d'hébergement (à partir de 100€ par an pour commencer).",,,,,"TPE, PME",Dépend de la localisation de vos serveurs,,Non applicable,Installation de Mautic sur vos serveurs. De 1 à 10 jours pour le paramétrage.,Coût de l'hébergement,,https://www.mautic.org/,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,Non,Oui,EN/JP/FR,Oui,Oui,Non,Non,Non,Non
Net-Results,Logiciel généraliste,Net-Results is first choice for people buying marketing automation for the second time. Net-Results helps companies increase revenue growth and improve sales efficiency with powerful lead management solutions for marketing and sales. Their distinctly unique Segment-Driven approach to Lead Management and Marketing Automation helps their customers develop and leverage superior relationships to turn prospects into customers.,,,,,,,USA,2003,,,"8,141 €",,https://www.net-results.com/,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,,Oui,,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Non,,,Non,,Non,,Non,Non,,,Oui,,Non,,,Oui,Non,Non,Non,Non,Non
Omnisense,Logiciel généraliste,"Omnisense est développé par une équipe de 8 personnes basé à Perpignan. Cette équipe vient du monde de la création d’application mobile native pour iOS et Androïd.
Omnisense est nativement multicanal (notification push, email, SMS).
Son SDK (acronyme de “Software Development Kit”, permet d’intégrer le tracking dans vos applications mobile et sur vos site internet) permet de suivre votre acquisition, le tracking de données et la gestion des notifications push mobile.
Omnisense se connecte à vos régies publicitaire afin d’optimiser vos campagnes d'acquisition.
Vos utilisateurs sont centralisé au sein d'une même interface. Apprenez à mieux les connaître et à mieux comprendre comment ils utilisent vos services.
Conçue comme une plateforme robuste Omnisense à fêté à l’été 2017 sont “milliard de notification push” envoyé.","Editeur Français, au départ concentré sur le développement d'applications mobiles, proposant aujourd’hui l’une des solutions Européennes les plus puissantes.",- Intégration poussé avec vos applications mobile via un SDK dédié,- Il manque encore une fonctionnalités de page d'atterrisage,,,"TPE, PME, Grand Compte",France,,,,5 028 €,,http://www.omnisense.io/,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,,,,,,,Oui,Oui,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Oui,Oui,Non,Oui,FR,Oui,Non,Non,Non,Non,Non
SendinBlue,Logiciel d'emailing et d'envoi de SMS,"SendinBlue démocratise le marketing digital en offrant aux TPE / PME une plateforme tout-en-un pour gérer leurs campagnes emailing, SMS et Marketing Automation à un prix ultra compétitif.",,"- une solution toute-en-un
- la facilité d'utilisation notamment grâce à notre éditeur drag & drop responsive 
- un prix attractifs",,,,"TPE, PME",France,2012,,,588 €,,https://fr.sendinblue.com/,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,,,,,,,,,,,,,,,Non,,Non,,Non,Non,,,Oui,,,,,Oui,Non,Non,Non,Oui,Non
Welkom.io,Logiciel emailing pour e-commerçant,"Welkom est la rencontre de 3 entrepreneurs du web qui ont des parcours différents dans l’e-commerce mais qui ont rencontrés la même problématique : acheter du trafic coute cher et amener ensuite les contacts à (re)convertir est compliqué. Il faut y passer du temps, avoir des connaissances ou utiliser des outils onéreux qui ne font pas totalement le job.
Welkom est donc une plateforme d’email marketing en SaaS qui répond donc à ce besoin précis, tout en gardant à l’esprit un objectif de ROI.","- Scénarios de relances marketing effectifs (Relance de paniers abandonnées, anniversaires, clients / prospects :  perdus / volatiles / fidèles, remerciements d’achats et d’autres à venir), clefs en main (incluant les mails marketés)
- Analytique orientée retour sur investissement
- Gestion automatique et centralisée des codes promos utiles aux divers scénarios
- Gestion des emails transactionnels et des campagnes dites « Newsletter »","- Synchronisation automatique des contacts et
historique d'achat
- Scénario pré-configuré
- Totalement clé en main, les scénarios sont fournis avec le conseil marketing au travers des emails déjà conçus et écris.
- Orienté 100% business e-commerce
- Interface conçu pour aller à l’essentiel, simple, efficace et fonctionnelle",,,,"TPE, PME",France,2016,,,756 €,,https://welkom.io/,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,Oui,,Non,,,,Non,Non,Non,Non,Oui
Zapier,Logiciel d'automatisation des tâches,"Zapier permet de combiner différents services entre eux afin de vous libérer des tâches répétitives et chronophages.

Zapier isn't a marketing automation platform per se, but rather an automation tool that connects over 750 apps in every category, including email apps, project management apps, and, yes, marketing automation apps (such as CRM apps like Hubspot and email marketing apps like MailChimp). So the features like ""pricing for 10k contacts in database"" and ""postal mail, call center, [etc]"" don't really apply to us. If you'd like to learn more, please see our guide here: https://zapier.com/learn/getting-started-guide/what-is-zapier/ or I'm happy to answer any other questions you might have.","Tarif : gratuit jusqu’à 5 zaps par mois. Au-delà, à partir de 20$ par mois.",Outil de synchronisation quasiment universel,Ce n'est pas une plateforme de marketing automation.,,,"TPE, PME, Grand Compte",USA,2011,,N.A.,N.A.,N.A.,https://zapier.com/,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,EN,Oui,Non,Non,Non,Non,Oui
